name,role,description,image,url
"Francesca De Chiara",Alumni,"Open data policy, civic participation and data communities.",assets/img/people/francesca_dechiara.webp,
"Diletta Huyskes",Alumni,"Data governance and responsible digital innovation.",assets/img/people/diletta_huyskes.webp,
"Stefano Cudini",Alumni,"Open-source Web GIS, geospatial data and interactive visualisation.",assets/img/people/stefano_cudini.webp,https://opengeo.tech/
"Francesco Weikmann",Alumni,"Cycling network analysis and infrastructure-improvement priorities.",assets/img/people/francesco_weikmann.webp,https://github.com/dclfbk/bikingimprover
"Cristian Consonni",Alumni,"Collaborative knowledge, online communities and computational social science.",assets/img/people/cristian_consonni.webp,
